COWNNUM,OCCPCODE,CLTSEX,MARRYD,CLTTYPE,BILLCHNL,Count_product,Age_Product1,Age,Product_1,Product_2
10074802,1516,F,M,P,C,1,1,34,02_CI Endowment,01_Endowment
10074895,1078,F,U,P,C,1,1,47,03_Universal life,01_Endowment
10075081,2025,M,M,P,C,1,1,46,01_Endowment,01_Endowment
10075712,2309,F,M,P,C,1,1,32,02_CI Endowment,01_Endowment
10076030,448,F,M,P,C,1,1,39,02_CI Endowment,01_Endowment
10076197,218,F,M,P,C,1,1,29,04_PruCare Plus,01_Endowment
10077033,1516,F,M,P,C,1,1,28,01_Endowment,01_Endowment
10077183,2025,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10077200,2309,F,M,P,C,1,1,48,02_CI Endowment,01_Endowment
10077400,1516,F,M,P,C,1,1,40,02_CI Endowment,01_Endowment
10078033,1078,F,M,P,C,1,1,40,01_Endowment,01_Endowment
10078450,218,M,M,P,C,1,1,33,01_Endowment,01_Endowment
10078656,2309,F,M,P,C,1,1,51,02_CI Endowment,01_Endowment
10078667,2309,F,M,P,C,1,1,31,02_CI Endowment,01_Endowment
10079112,1078,F,M,P,C,1,1,40,05_ILP 2016 - Prulink,01_Endowment
10079232,218,F,M,P,C,1,1,37,01_Endowment,01_Endowment
10079761,2025,M,M,P,C,1,1,33,02_CI Endowment,01_Endowment
10080705,1078,F,M,P,C,1,1,49,02_CI Endowment,01_Endowment
10080794,2309,M,M,P,C,1,1,54,05_ILP 2016 - Prulink,01_Endowment
10081096,218,F,S,P,C,1,1,26,01_Endowment,01_Endowment
10081453,376,F,M,P,C,1,1,33,02_CI Endowment,01_Endowment
10081593,2309,F,M,P,C,1,1,29,02_CI Endowment,01_Endowment
10082615,218,F,M,P,C,1,1,28,04_PruCare Plus,01_Endowment
10082854,213,M,M,P,C,1,1,33,01_Endowment,01_Endowment
10083124,1830,M,M,P,C,1,1,35,01_Endowment,01_Endowment
10083287,1516,M,M,P,C,1,1,45,01_Endowment,01_Endowment
10084229,1078,M,M,P,C,1,1,33,01_Endowment,01_Endowment
10084378,2285,F,M,P,C,1,1,36,01_Endowment,01_Endowment
10084793,2309,F,M,P,C,1,1,38,01_Endowment,01_Endowment
10085054,2025,F,M,P,C,1,1,53,02_CI Endowment,01_Endowment
10085076,2309,F,M,P,C,1,1,30,05_ILP 2016 - Prulink,01_Endowment
10085345,1516,M,M,P,C,1,1,33,05_ILP 2016 - Prulink,01_Endowment
10085359,218,F,S,P,C,1,1,24,05_ILP 2016 - Prulink,01_Endowment
10085541,1078,F,M,P,C,1,1,40,02_CI Endowment,01_Endowment
10086185,1078,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10086759,1489,M,M,P,C,1,1,38,04_PruCare Plus,01_Endowment
10086797,1078,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10086881,1516,F,M,P,C,1,1,51,02_CI Endowment,01_Endowment
10086960,2025,F,M,P,C,1,1,51,01_Endowment,01_Endowment
10087250,1078,F,M,P,C,1,1,41,02_CI Endowment,01_Endowment
10088379,2499,M,M,P,C,1,1,38,01_Endowment,01_Endowment
10088859,218,F,M,P,C,1,1,29,01_Endowment,01_Endowment
10088925,2309,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10090048,1078,F,M,P,C,1,1,38,01_Endowment,01_Endowment
10090180,218,F,M,P,C,1,1,25,05_ILP 2016 - Prulink,01_Endowment
10090283,448,F,M,P,C,1,1,29,01_Endowment,01_Endowment
10090589,8,M,M,P,C,1,1,37,05_ILP 2016 - Prulink,01_Endowment
10090622,448,F,M,P,C,1,1,38,01_Endowment,01_Endowment
10090647,1516,M,M,P,C,1,1,40,01_Endowment,01_Endowment
10092013,801,M,M,P,C,1,1,33,05_ILP 2016 - Prulink,01_Endowment
10092996,1516,F,M,P,C,1,1,56,05_ILP 2016 - Prulink,01_Endowment
10093589,218,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10094026,1078,F,M,P,C,1,1,46,02_CI Endowment,01_Endowment
10094200,2218,M,M,P,C,1,1,30,01_Endowment,01_Endowment
10094540,2025,F,M,P,C,1,1,44,05_ILP 2016 - Prulink,01_Endowment
10094718,1078,F,M,P,C,1,1,35,01_Endowment,01_Endowment
10096802,1078,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10097642,801,F,M,P,C,1,1,47,01_Endowment,01_Endowment
10098019,218,F,M,P,C,1,1,38,01_Endowment,01_Endowment
10099422,997,F,M,P,C,1,1,40,05_ILP 2016 - Prulink,01_Endowment
10099467,1078,F,M,P,C,1,1,43,02_CI Endowment,01_Endowment
10100515,1516,F,S,P,C,1,1,55,02_CI Endowment,01_Endowment
10100550,218,M,M,P,C,1,1,39,02_CI Endowment,01_Endowment
10100593,2025,F,M,P,C,1,1,47,05_ILP 2016 - Prulink,01_Endowment
10100805,218,F,M,P,C,1,3,31,01_Endowment,01_Endowment
10100806,2025,F,M,P,C,1,1,55,01_Endowment,01_Endowment
10101416,199,M,M,P,C,1,1,25,04_PruCare Plus,01_Endowment
10102144,2025,F,M,P,C,1,1,43,05_ILP 2016 - Prulink,01_Endowment
10102397,2309,F,M,P,C,1,1,44,01_Endowment,01_Endowment
10102838,2025,F,M,P,C,1,1,44,01_Endowment,01_Endowment
10103301,2092,M,M,P,C,1,1,39,01_Endowment,01_Endowment
10104109,2309,F,M,P,C,1,1,29,01_Endowment,01_Endowment
10104712,2025,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10104899,1078,F,M,P,C,1,1,36,01_Endowment,01_Endowment
10105271,1078,M,M,P,C,1,1,32,02_CI Endowment,01_Endowment
10105304,2309,F,U,P,C,1,1,31,01_Endowment,01_Endowment
10105505,218,M,M,P,C,1,1,34,01_Endowment,01_Endowment
10106254,801,M,M,P,C,1,1,34,03_Universal life,01_Endowment
10106374,1516,F,M,P,C,1,1,52,02_CI Endowment,01_Endowment
10106697,218,M,M,P,C,1,1,27,01_Endowment,01_Endowment
10106815,218,F,M,P,C,1,1,32,05_ILP 2016 - Prulink,01_Endowment
10107197,1078,M,M,P,C,1,1,35,01_Endowment,01_Endowment
10107275,218,F,M,P,C,1,1,35,01_Endowment,01_Endowment
10108014,1078,F,M,P,C,1,1,45,02_CI Endowment,01_Endowment
10108338,456,F,M,P,C,1,1,45,05_ILP 2016 - Prulink,01_Endowment
10109116,218,M,M,P,C,1,1,39,01_Endowment,01_Endowment
10110215,2309,F,M,P,C,1,1,36,05_ILP 2016 - Prulink,01_Endowment
10110734,1078,M,M,P,C,1,1,47,01_Endowment,01_Endowment
10111237,2309,F,M,P,C,1,1,25,01_Endowment,01_Endowment
10111252,2309,F,M,P,C,1,1,35,02_CI Endowment,01_Endowment
10111951,218,M,M,P,C,1,1,36,02_CI Endowment,01_Endowment
10112882,801,F,M,P,C,1,1,30,02_CI Endowment,01_Endowment
10112923,1078,M,M,P,C,1,1,44,05_ILP 2016 - Prulink,01_Endowment
10113131,1516,M,M,P,C,1,1,41,02_CI Endowment,01_Endowment
